cid,smiles,acvalue,categories
145987138,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C)OC)OC,3.37,inhibitor
145983670,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC(=CC(=C8)Cl)Cl)OC)OC,3.41,inhibitor
145988252,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC(=CC=C8)Br)OC)OC,3.47,inhibitor
137656094,COC1=CC=C(C=C1)C=CC(=O)C=CC2=CNC3=CC=CC=C32,3.51,inhibitor
155551054,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Cl)NC(=O)C4=CC=CC(=C4)C=CC(=O)NO,3.51,inhibitor
145979603,COC1=CC=C(C=C1)CN(C2=CC(=C(C(=C2)OC)OC)OC)C(=O)CSC3=NC4=CC=CC=C4O3,3.53,inhibitor
5351344,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O,3.53,inhibitor
118716316,C1=CSC(=C1)C2=NN=C(S2)NC(=O)CCCCCCC(=O)NO,3.6,inhibitor
127051687,C1=CC=C(C=C1)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)O)C4=CC=CC=C4,3.6,inhibitor
137641414,COC1=CC2=C(C=C1)N=C(C=C2)CNCC3=CC=C(C=C3)C=CC(=O)NO,3.7,inhibitor
145960305,CC12CC(C3C(C1CCC2OC)CCC4=CC(=C(C=C34)OC)OC)OC(=O)C5=CC=C(C=C5)NC(=O)CN6CCCC6,3.74,inhibitor
145983092,CC1(CCCC23C1CC(C45C2C(CC(C4O)C(=C)C5=O)O)OC3OCCN6C=C(N=N6)CC7CC7)C,3.79,inhibitor
127050791,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)F)C(=O)C=CNC4=CC=C(C=C4)Cl,3.8,inhibitor
145990755,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)C(F)(F)F)OC)OC,3.81,inhibitor
118720522,COC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=CC=CC(=C4)C=CC(=O)NO,3.88,inhibitor
127048509,COC1=CC=C(C=C1)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)Cl)C4=CC=CC=C4,3.89,inhibitor
127049540,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)C=CNC4=CC=C(C=C4)Cl,3.89,inhibitor
145985246,CC1(CCCC23C1CC(C45C2C(CC(C4O)C(=C)C5=O)O)OC3OCC#C)C,3.92,inhibitor
145982791,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC=CC(=C9)C)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,3.93,inhibitor
145982065,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC9=CC=CC=C9C=C8)OC)OC,3.96,inhibitor
